locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
1,1-16FGFU,Long Day Care,Newtrain Long Day Care - Manilla CLOSED,63 Arthur St,MANILLA,NSW,2346,-30.75081,150.72669,0xE6100000010C39D6C56D34C03EC02506819543D76240
2,1-16HBBN,Long Day Care,Heritage House Pennant Hills Childcare And Learning Centre,2A Albion St,PENNANT HILLS,NSW,2120,-33.73644,151.07548,0xE6100000010C2063EE5A42DE40C06666666666E26240
3,1-16HQTP,Long Day Care,Clementson Drive Early Educational Centre,182 Clementson Drive,ROSSMORE,NSW,2557,-33.91473,150.76802,0xE6100000010C5BD3BCE314F540C07F6ABC7493D86240
4,1-16HX2P,Long Day Care,Explore & Develop - Glenmore Park,Lot 9004 Glenmore Parkway,GLENMORE PARK,NSW,2745,-33.7907,150.66867,0xE6100000010C3E7958A835E540C0C520B07268D56240
5,1-16NK3J,Long Day Care,Stepping Stones Preschool & Child Care Centre,12 Hillside Dr,URUNGA,NSW,2455,-30.50376,153.01122,0xE6100000010C8CB96B09F9803EC03108AC1C5A206340
6,1-16NLU1,Long Day Care,Moore Park Gardens Preschool & Long Day Care Centre,4/780 Bourke Street,REDFERN,NSW,2016,-33.89642,151.21461,0xE6100000010C3411363CBDF240C07B14AE47E1E66240
7,1-C9OHOW,Long Day Care,Bambinos Kindergarten Harrington Park 1,35 - 37 Fairwater Dr,HARRINGTON PARK,NSW,2567,-34.02889,150.73531,0xE6100000010C5D6DC5FEB20341C0EC51B81E85D76240
8,1-16P0A2,Long Day Care,Playtime Pre-School Punchbowl,21 Dudley St,PUNCHBOWL,NSW,2196,-33.92606,151.0596,0xE6100000010CAD69DE718AF640C052B81E85EBE16240
9,1-16P6JZ,Long Day Care,Wind in the Willows Child Care Centre,411 Anzac Pde,KINGSFORD,NSW,2032,-33.92578,151.22935,0xE6100000010C8351499D80F640C017D9CEF753E76240
10,1-1WPRM8,Long Day Care,Connies Childcare Centre - Mt Druitt,36 Lisbon St,MOUNT DRUITT,NSW,2770,-33.759,150.8166,0xE6100000010CFED478E926E140C0A01A2FDD24DA6240
11,1-16RIB9,Long Day Care,Sydney Cove Children's Centre West,18-32 Jamison St,SYDNEY,NSW,2000,-33.86398,151.20641,0xE6100000010C3BDF4F8D97EE40C03BDF4F8D97E66240
12,1-16WEN1,Long Day Care,Owl & The Pussycat Preschool Brookvale,577-579 Pittwater Road,BROOKVALE,NSW,2100,-33.75893,151.27937,0xE6100000010C9A779CA223E140C0B0726891EDE86240
13,1-CO5B3I,Long Day Care,NSW Academy of Early Learning,18 Pine Rd,CASULA,NSW,2170,-33.95508,150.893,0xE6100000010C6E3480B740FA40C07F6ABC7493DC6240
